"","metrics","xgb.default.pred","xgb_woe.default.pred","xgb_woe_ef.default","xgb_woe_ew.default","xgb.pca.pred","xgb.param1.pred","xgb_woe.param1.pred","rf.woe","pred.lr.woe","pred.lr.woe.ef","pred.lr.woe.ew","xgb.param2.pred"
"1","AUC",0.651038002449146,0.647083478953165,0.64894505453798,0.649357182698815,0.636920798702129,0.652457055686947,0.649085335397264,0.620372697701125,0.630194452954749,0.630194452954749,0.629633511700547,0.653782679443358
"2","hmeasure",0.0713148075018627,0.070356808080234,0.0719626068749587,0.0751764143186533,0.0591080925236096,0.0752203684913469,0.0724064827718209,0.0507264514532758,0.055861697456861,0.055861697456861,0.0554824224168318,0.0752384487371102
"3","cutoff",0.225790858268738,0.239274919033051,0.246317267417908,0.256953537464142,0.21685117483139,0.236607730388641,0.234616339206696,0.254,0.216105315225438,0.216105315225438,0.221840921166208,0.215130209922791
"4","avg_return",0.794372711505107,0.78637502408942,0.78965118519946,0.787531316245905,0.743977645018308,0.792156484871844,0.78637502408942,0.761225669685874,0.73270379649258,0.73270379649258,0.730873000578146,0.788591250722683
